8fd912a7-bb9e-454f-bf6b-3b03c691ed13,,The Compliance Killer,,,,14:06 27/09/2024
5d7862a2-dafe-47c0-b0cc-f0fb053a008c,,The Safety Code Slayer,,,,14:08 27/09/2024
c887c738-eddd-4c4b-8be0-329a5a1e933a,,I didn't kill them... their negligence did.,,,,14:11 27/09/2024
64949fce-9233-4a2c-a75a-6649acd38ff4,,"If they valued their lives, they wouldâ€™ve valued the rules.",,,,14:12 27/09/2024
38fea48b-5768-4c3b-be04-c9990b8882cb,,I warned them - safety violations have deadly consequences.,,,,14:12 27/09/2024
ea24fe89-eb78-484c-9b97-9627952cffd9,,Safety Concerns,,,,14:56 27/09/2024
423f36c5-cc82-4d2a-9547-23326665e16a,,I have major safety concerns about the workplace at |job.employer.location.building|. Something needs to be done!,,,,15:04 27/09/2024
2576244b-e3aa-41e9-949a-9531031ebfa8,,"To whom it may concern,",,,,15:39 27/09/2024
166a4d97-75bf-4761-b028-490a1d6e62d9,,"Yours, |sender.firstname|",,,,15:18 27/09/2024
38c02b6b-4982-4b2d-8890-f415446b32c8,,"Dear |receiver.firstname|,",,,,15:06 27/09/2024
7f486013-913a-4e4a-9bac-ca3da7071881,,"We have reviewed your complaints, and don't see any action that needs to be taken in regards to this matter.",,,,15:05 27/09/2024
c2f268d9-0a62-4ff8-8842-a04f7952edf5,,We will now consider this matter closed.,,,,15:06 27/09/2024
aa419886-7422-44d9-8c92-3f3b7ea00174,,"Yours, |job.employer.owner.firstname|",,,,15:41 27/09/2024